"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","SALARY","COMMISSION_PCT","MANAGER_ID"
129,"Laura","Bissot","LBISSOT","650.124.5234",05.08.20,3300,,121
130,"Mozhe","Atkinson","MATKINSO","650.124.6234",05.10.30,2800,,121
131,"James","Marlow","JAMRLOW","650.124.7234",05.02.16,2500,,121
132,"TJ","Olson","TJOLSON","650.124.8234",07.04.10,2100,,121
133,"Jason","Mallin","JMALLIN","650.127.1934",04.06.14,3300,,122
134,"Michael","Rogers","MROGERS","650.127.1834",06.08.26,2900,,122
135,"Ki","Gee","KGEE","650.127.1734",07.12.12,2400,,122
136,"Hazel","Philtanker","HPHILTAN","650.127.1634",08.02.06,2200,,122
137,"Renske","Ladwig","RLADWIG","650.121.1234",03.07.14,3600,,123
138,"Stephen","Stiles","SSTILES","650.121.2034",05.10.26,3200,,123
139,"John","Seo","JSEO","650.121.2019",06.02.12,2700,,123
140,"Joshua","Patel","JPATEL","650.121.1834",06.04.06,2500,,123
141,"Trenna","Rajs","TRAJS","650.121.8009",03.10.17,3500,,124
142,"Curtis","Davies","CDAVIES","650.121.2994",05.01.29,3100,,124
143,"Randall","Matos","RMATOS","650.121.2874",06.03.15,2600,,124
144,"Peter","Vargas","PVARGAS","650.121.2004",06.07.09,2500,,124
145,"John","Russell","JRUSSEL","011.44.1344.429268",04.10.01,14000,0,4,100
146,"Karen","Partners","KPARTNER","011.44.1344.467268",05.01.05,13500,0,3,100
147,"Alberto","Errazuriz","AERRAZUR","011.44.1344.429278",05.03.10,12000,0,3,100
148,"Gerald","Cambrault","GCAMBRAU","011.44.1344.619268",07.10.15,11000,0,3,100
149,"Eleni","Zlotkey","EZLOTKEY","011.44.1344.429018",08.01.29,10500,0,2,100
150,"Peter","Tucker","PTUCKER","011.44.1344.129268",05.01.30,10000,0,3,145
151,"David","Bernstein","DBERNSTE","011.44.1344.345268",05.03.24,9500,0,25,145
152,"Peter","Hall","PHALL","011.44.1344.478968",05.08.20,9000,0,25,145
153,"Christopher","Olsen","COLSEN","011.44.1344.498718",06.03.30,8000,0,2,145
154,"Nanette","Cambrault","NCAMBRAU","011.44.1344.987668",06.12.09,7500,0,2,145
155,"Oliver","Tuvault","OTUVAULT","011.44.1344.486508",07.11.23,7000,0,15,145
156,"Janette","King","JKING","011.44.1345.429268",04.01.30,10000,0,35,146
157,"Patrick","Sully","PSULLY","011.44.1345.929268",04.03.04,9500,0,35,146
158,"Allan","McEwen","AMCEWEN","011.44.1345.829268",04.08.01,9000,0,35,146
159,"Lindsey","Smith","LSMITH","011.44.1345.729268",05.03.10,8000,0,3,146
160,"Louise","Doran","LDORAN","011.44.1345.629268",05.12.15,7500,0,3,146
161,"Sarath","Sewall","SSEWALL","011.44.1345.529268",06.11.03,7000,0,25,146
162,"Clara","Vishney","CVISHNEY","011.44.1346.129268",05.11.11,10500,0,25,147
163,"Danielle","Greene","DGREENE","011.44.1346.229268",07.03.19,9500,0,15,147
164,"Mattea","Marvins","MMARVINS","011.44.1346.329268",08.01.24,7200,0,1,147
165,"David","Lee","DLEE","011.44.1346.529268",08.02.23,6800,0,1,147
166,"Sundar","Ande","SANDE","011.44.1346.629268",08.03.24,6400,0,1,147
167,"Amit","Banda","ABANDA","011.44.1346.729268",08.04.21,6200,0,1,147
168,"Lisa","Ozer","LOZER","011.44.1343.929268",05.03.11,11500,0,25,148
169,"Harrison","Bloom","HBLOOM","011.44.1343.829268",06.03.23,10000,0,2,148
170,"Tayler","Fox","TFOX","011.44.1343.729268",06.01.24,9600,0,2,148
171,"William","Smith","WSMITH","011.44.1343.629268",07.02.23,7400,0,15,148
172,"Elizabeth","Bates","EBATES","011.44.1343.529268",07.03.24,7300,0,15,148
173,"Sundita","Kumar","SKUMAR","011.44.1343.329268",08.04.21,6100,0,1,148
174,"Ellen","Abel","EABEL","011.44.1644.429267",04.05.11,11000,0,3,149
175,"Alyssa","Hutton","AHUTTON","011.44.1644.429266",05.03.19,8800,0,25,149
176,"Jonathon","Taylor","JTAYLOR","011.44.1644.429265",06.03.24,8600,0,2,149
177,"Jack","Livingston","JLIVINGS","011.44.1644.429264",06.04.23,8400,0,2,149
178,"Kimberely","Grant","KGRANT","011.44.1644.429263",07.05.24,7000,0,15,149
179,"Charles","Johnson","CJOHNSON","011.44.1644.429262",08.01.04,6200,0,1,149
180,"Winston","Taylor","WTAYLOR","650.507.9876",06.01.24,3200,,120
181,"Jean","Fleaur","JFLEAUR","650.507.9877",06.02.23,3100,,120
182,"Martha","Sullivan","MSULLIVA","650.507.9878",07.06.21,2500,,120
183,"Girard","Geoni","GGEONI","650.507.9879",08.02.03,2800,,120
184,"Nandita","Sarchand","NSARCHAN","650.509.1876",04.01.27,4200,,121
185,"Alexis","Bull","ABULL","650.509.2876",05.02.20,4100,,121
186,"Julia","Dellinger","JDELLING","650.509.3876",06.06.24,3400,,121
187,"Anthony","Cabrio","ACABRIO","650.509.4876",07.02.07,3000,,121
188,"Kelly","Chung","KCHUNG","650.505.1876",05.06.14,3800,,122
189,"Jennifer","Dilly","JDILLY","650.505.2876",05.08.13,3600,,122
190,"Timothy","Gates","TGATES","650.505.3876",06.07.11,2900,,122
191,"Randall","Perkins","RPERKINS","650.505.4876",07.12.19,2500,,122
192,"Sarah","Bell","SBELL","650.501.1876",04.02.04,4000,,123
193,"Britney","Everett","BEVERETT","650.501.2876",05.03.03,3900,,123
194,"Samuel","McCain","SMCCAIN","650.501.3876",06.07.01,3200,,123
195,"Vance","Jones","VJONES","650.501.4876",07.03.17,2800,,123
196,"Alana","Walsh","AWALSH","650.507.9811",06.04.24,3100,,124
197,"Kevin","Feeney","KFEENEY","650.507.9822",06.05.23,3000,,124
198,"Donald","OConnell","DOCONNEL","650.507.9833",07.06.21,2600,,124
199,"Douglas","Grant","DGRANT","650.507.9844",08.01.13,2600,,124
200,"Jennifer","Whalen","JWHALEN","515.123.4444",03.09.17,4400,,101
201,"Michael","Hartstein","MHARTSTE","515.123.5555",04.02.17,13000,,100
202,"Pat","Fay","PFAY","603.123.6666",05.08.17,6000,,201
203,"Susan","Mavris","SMAVRIS","515.123.7777",02.06.07,6500,,101
204,"Hermann","Baer","HBAER","515.123.8888",02.06.07,10000,,101
205,"Shelley","Higgins","SHIGGINS","515.123.8080",02.06.07,12008,,101
206,"William","Gietz","WGIETZ","515.123.8181",02.06.07,8300,,205
